title,start,end,weekday,raw_date,veranstaltungstitel,sprache,studiengang,anzahl_studierende,geplante_vorlesungsstunden,planungsnotiz,ressourcen,personen,date,Kurs
"Feiertag
erstellt am 22.07.24 10:21, zuletzt geändert am 17.03.25 14:13",2025-01-06 08:00:00,2025-01-06 18:00:00,Mo,06.01.25,Feiertag,,,,,,,,2025-01-06,WWI22B1
"Sonstiger Termin


Titel:


Feiertag




Planungsnotiz:






Änderungen erlauben:


Planer*innen  Wirtschaft/Studiengangsleitung Wirtschaftsinformatik




reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,WWI22B1,WWI22B3,WWI22B4,WWI22B2


WWI22B5
WWI22B1
WWI22B3
WWI22B4
WWI22B2
 
 
 


 
 


 
 
 


 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






 
 
 
 


 
 


 
 
 


 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






 
 
 
08:30 -12:45
Wahlmodul (DS/SE): Arbeits- und Organisationspsychologie
erstellt am 15.10.15 09:52, zuletzt geändert am 30.09.24 15:46",2025-01-07 08:00:00,2025-01-07 18:00:00,Di,07.01.25,Sonstiger Termin,,,,,,,,2025-01-07,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (DS/SE): Arbeits- und Organisationspsychologie




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


25




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B1,WWI22B2,A474




Personen:


Weinsdörfer, Jochen


Weinsdörfer, Jochen
WWI22B1
WWI22B2
A474
 
 


 
 
 


 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






 
 
 
 
 


 
 
08:45 -13:00
Wahlmodul (SC/SE): Aspekte des Datenmanagements
erstellt am 27.10.15 15:44, zuletzt geändert am 30.09.24 15:47",2025-01-08 08:30:00,2025-01-08 12:45:00,Mi,08.01.25,Wahlmodul (DS/SE): Arbeits- und Organisationspsychologie,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,25,reserviert von:,"WWI22B1,WWI22B2,A474","Weinsdörfer, Jochen",2025-01-08,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (SC/SE): Aspekte des Datenmanagements




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


25




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,A471,WWI22B1,WWI22B3,WWI22B2




Personen:


Nakou, Aikaterini


Nakou, Aikaterini
WWI22B5
A471
WWI22B1
WWI22B3
WWI22B2
 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






9:00
  


 
 
 
 
09:00 -13:15
Wahlmodul (SC/SE): Aspekte des Datenmanagements
erstellt am 27.10.15 15:44, zuletzt geändert am 30.09.24 15:47",2025-01-07 08:45:00,2025-01-07 13:00:00,Di,07.01.25,Wahlmodul (SC/SE): Aspekte des Datenmanagements,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,25,reserviert von:,"WWI22B5,A471,WWI22B1,WWI22B3,WWI22B2","Nakou, Aikaterini",2025-01-07,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (SC/SE): Aspekte des Datenmanagements




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


25




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,A471,WWI22B1,WWI22B3,WWI22B2




Personen:


Nakou, Aikaterini


Nakou, Aikaterini
WWI22B5
A471
WWI22B1
WWI22B3
WWI22B2
 
 
 
 


 
 
09:00 -12:15
Geschäftsprozessmanagement
erstellt am 19.10.15 11:40, zuletzt geändert am 30.09.24 13:07",2025-01-09 09:00:00,2025-01-09 13:15:00,Do,09.01.25,Wahlmodul (SC/SE): Aspekte des Datenmanagements,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,25,reserviert von:,"WWI22B5,A471,WWI22B1,WWI22B3,WWI22B2","Nakou, Aikaterini",2025-01-09,WWI22B1
"Lehrveranstaltung


Titel:


Geschäftsprozessmanagement




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


28




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B1,A468




Personen:


Klink, Stefan


Klink, Stefan
WWI22B1
A468
 
 
09:00 -12:15
Entwurf und Entwicklung von IT-Infrastrukturen
erstellt am 13.10.21 15:21, zuletzt geändert am 26.09.24 12:19",2025-01-10 09:00:00,2025-01-10 12:15:00,Fr,10.01.25,Geschäftsprozessmanagement,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,28,reserviert von:,"WWI22B1,A468","Klink, Stefan",2025-01-10,WWI22B1
"Lehrveranstaltung


Titel:


Entwurf und Entwicklung von IT-Infrastrukturen




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


28




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B1,A468




Personen:


Häfner, Jürgen


Häfner, Jürgen
WWI22B1
A468
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 


 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
09:30 -12:45
Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt
erstellt am 07.09.22 16:18, zuletzt geändert am 18.11.24 18:46",2025-01-08 09:00:00,2025-01-08 12:15:00,Mi,08.01.25,Entwurf und Entwicklung von IT-Infrastrukturen,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,28,reserviert von:,"WWI22B1,A468","Häfner, Jürgen",2025-01-08,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


25




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,A473,WWI22B1




Personen:


Allmang, Jörn,Eigbrecht, Laura,Ehlers, Ulf-Daniel


Allmang, Jörn
Eigbrecht, Laura
Ehlers, Ulf-Daniel
WWI22B5
A473
WWI22B1
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






10:00
  


 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






11:00
  


 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






12:00
  


 
 
 
 
 
 
 
 
 
 
 
 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 


 
 
 


 
 
 


 
 
 


 






 
 
 
 
 
 
 
 
 
 


 
 
 


 
 
 


 
 
 


 






 
 
 
 


 
 
 
 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






13:00
  


 
 
 
 


 
 
 
 


 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






 
 
 
 


 
 


 
 
 


 
 


 
 
13:15 -16:30
Unternehmensführung
erstellt am 19.10.15 09:52, zuletzt geändert am 26.09.24 12:17",2025-01-09 09:30:00,2025-01-09 12:45:00,Do,09.01.25,Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,25,reserviert von:,"WWI22B5,A473,WWI22B1","Allmang, Jörn,Eigbrecht, Laura,Ehlers, Ulf-Daniel",2025-01-09,WWI22B1
"Lehrveranstaltung


Titel:


Unternehmensführung




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


24




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B1,A468




Personen:


Maul, Friedbert


Maul, Friedbert
WWI22B1
A468
 
 
 


 
 
 


 
 
 


 






 
 
 
 


 
 


 
 
 


 
 


 
 
 
 
 


 
 
 


 
 
 


 






 
 
 
 


 
 


 
 
 


 
 


 
 
 
 
 


 
 
 


 
 
 


 






14:00
  


 
 
 
14:00 -16:30
Ausgewählte Aspekte Software Engineering 2
erstellt am 09.10.15 09:34, zuletzt geändert am 01.10.24 10:07",2025-01-07 13:15:00,2025-01-07 16:30:00,Di,07.01.25,Unternehmensführung,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,24,reserviert von:,"WWI22B1,A468","Maul, Friedbert",2025-01-07,WWI22B1
"Wahlmodul (SC/SE): Einführung in die Künstliche Intelligenz
erstellt am 22.10.15 09:50, zuletzt geändert am 13.11.24 14:44",2025-01-15 08:00:00,2025-01-15 11:15:00,Mi,15.01.25,Wahlmodul (SC/SE): Einführung in die Künstliche Intelligenz,,,,,,,,2025-01-15,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (SC/SE): Einführung in die Künstliche Intelligenz




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


24




Planungsnotiz:


26.11. nach 3.12.




reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,WWI22B1,WWI22B3,A468
 (Do 19.12.24  13:15,",2024-12-03 08:00:00,2024-12-03 11:15:00,Di,03.12.24,Wahlmodul (SC/SE): Einführung in die Künstliche Intelligenz,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,24,26.11. nach 3.12.,,,2024-12-03,WWI22B1
"Wahlmodul (SC/SE): Aspekte des Datenmanagements
erstellt am 27.10.15 15:44, zuletzt geändert am 30.09.24 15:47",2025-01-15 08:45:00,2025-01-15 13:00:00,Mi,15.01.25,Wahlmodul (SC/SE): Aspekte des Datenmanagements,,,,,,,,2025-01-15,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (SC/SE): Aspekte des Datenmanagements




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


25




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,A471,WWI22B1,WWI22B3,WWI22B2




Personen:


Nakou, Aikaterini


Nakou, Aikaterini
WWI22B5
A471
WWI22B1
WWI22B3
WWI22B2
 
 


 
 
 


 
 
 


 
 
 


 
 
 


 






9:00
  


 
09:00 -14:45
Projektkonzeption
erstellt am 23.08.24 13:21, zuletzt geändert am 18.11.24 12:51",2025-01-13 08:45:00,2025-01-13 13:00:00,Mo,13.01.25,Wahlmodul (SC/SE): Aspekte des Datenmanagements,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,25,reserviert von:,"WWI22B5,A471,WWI22B1,WWI22B3,WWI22B2","Nakou, Aikaterini",2025-01-13,WWI22B1
"Lehrveranstaltung


Titel:


Projektkonzeption




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


20




Planungsnotiz:






reserviert von:


Weber, Marco




zuletzt geändert von:


Pohl, Philipp




Ressourcen:


A471,B458,WWI22B1,WWI22B3,A472,A468,A474,A367,WWI22B5,A473,WWI22B4,WWI22B2




Personen:


Wengler, Katja,Brockmans, Sara,Freytag, Thomas,Klink, Stefan,Pollmann, René


Wengler, Katja
Brockmans, Sara
Freytag, Thomas
Klink, Stefan
Pollmann, René
A471
B458
WWI22B1
WWI22B3
A472
A468
A474
A367
WWI22B5
A473
WWI22B4
WWI22B2
 
 
 


 
 
 
 
 


 
 
09:00 -12:15
Geschäftsprozessmanagement
erstellt am 19.10.15 11:40, zuletzt geändert am 30.09.24 13:07",2025-01-16 09:00:00,2025-01-16 14:45:00,Do,16.01.25,Projektkonzeption,Deutsch,Wirtschaft/Wirtschaftsinformatik,,20,reserviert von:,"A471,B458,WWI22B1,WWI22B3,A472,A468,A474,A367,WWI22B5,A473,WWI22B4,WWI22B2","Wengler, Katja,Brockmans, Sara,Freytag, Thomas,Klink, Stefan,Pollmann, René",2025-01-16,WWI22B1
"Lehrveranstaltung


Titel:


Geschäftsprozessmanagement




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


28




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B1,A468




Personen:


Klink, Stefan


Klink, Stefan
WWI22B1
A468
 
 
09:00 -13:15
Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt
erstellt am 07.09.22 16:18, zuletzt geändert am 18.11.24 18:46",2025-01-17 09:00:00,2025-01-17 12:15:00,Fr,17.01.25,Geschäftsprozessmanagement,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,28,reserviert von:,"WWI22B1,A468","Klink, Stefan",2025-01-17,WWI22B1
"Lehrveranstaltung


Titel:


Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt




Sprache:


Deutsch




Studiengang:


Wirtschaft/Wirtschaftsinformatik




Anzahl Studierende:


1




Änderungen erlauben:


Wirtschaft/Wirtschaftsinformatik




Gepl. Vorlesungsstunden:


25




Planungsnotiz:






reserviert von:


Weber, Marco




Ressourcen:


WWI22B5,A473,WWI22B1




Personen:


Allmang, Jörn,Eigbrecht, Laura,Ehlers, Ulf-Daniel


Allmang, Jörn
Eigbrecht, Laura
Ehlers, Ulf-Daniel
WWI22B5
A473
WWI22B1
 
 
 


 
 
 


 






 
 
 
 


 
 
 
 
 


 
 
 
 
 
 
 


 
 
 


 






 
 
 
 


 
 
 
 
09:30 -12:45
Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt
erstellt am 07.09.22 16:18, zuletzt geändert am 18.11.24 18:46",2025-01-15 09:00:00,2025-01-15 13:15:00,Mi,15.01.25,Wahlmodul (SC/SE): Digitalisierung der Arbeitswelt,Deutsch,Wirtschaft/Wirtschaftsinformatik,1,25,reserviert von:,"WWI22B5,A473,WWI22B1","Allmang, Jörn,Eigbrecht, Laura,Ehlers, Ulf-Daniel",2025-01-15,WWI22B1
