M_nr,Kurs,Geschlecht,Vegetarier,Obst,Salat,Nachschlag,Mensa_Wahrscheinlichkeit
10000,KA-GAGPW24B1,m,False,0.7011566710896323,0.29884332891036763,0.29,1.0
10001,KA-GAGPW24B1,m,False,0.4576294349214128,0.5423705650785872,0.17,0.69
10002,KA-GAGPW24B1,w,False,0.7672902360553316,0.23270976394466836,0.05,0.73
10003,KA-GAGPW24B1,m,True,0.7922434586784907,0.20775654132150936,0.33,0.8
10004,KA-GAGPW24B1,m,False,0.7967655949607463,0.2032344050392537,0.65,0.91
10005,KA-GAGPW24B1,w,False,0.15576763009656303,0.8442323699034369,0.18,0.66
10006,KA-GAGPW24B1,m,True,0.9288197499552827,0.07118025004471731,0.32,0.88
10007,KA-GAGPW24B1,m,False,0.24605190805704008,0.75394809194296,0.26,0.95
10008,KA-GAGPW24B1,w,False,0.7538810916018169,0.24611890839818307,0.17,0.7
10009,KA-GAGPW24B1,m,False,0.585162079031247,0.41483792096875305,0.43,0.81
10010,KA-GAGPW24B1,w,False,0.9900631875057374,0.009936812494262622,0.12,0.76
10011,KA-GAGPW24B1,m,False,0.20912165589201298,0.7908783441079871,0.28,0.87
10012,KA-GAGPW24B1,w,False,0.2495580211581114,0.7504419788418886,0.03,0.85
10013,KA-GAGPW24B1,m,False,0.8028379591624927,0.19716204083750732,0.17,0.77
10014,KA-GAGPW24B1,m,False,0.8524071828047803,0.14759281719521966,0.31,0.96
10015,KA-GAGPW24B1,m,False,0.938225526038089,0.06177447396191099,0.36,0.85
10016,KA-GAGPW24B1,m,False,0.22682869489430701,0.773171305105693,0.25,0.99
10017,KA-GAGPW24B1,m,False,0.1261768417574887,0.8738231582425114,0.12,0.99
10018,KA-GAGPW24B1,m,False,0.32396784371146564,0.6760321562885343,0.28,0.72
10019,KA-GAGPW24B1,w,False,0.2922139617839946,0.7077860382160053,0.36,0.82
10020,KA-GAGPW24B1,w,False,0.09109511207173746,0.9089048879282625,0.1,0.77
10021,KA-GAGPW24B1,m,True,0.18616527962222262,0.8138347203777775,0.16,1.0
10022,KA-GAGPW24B1,w,False,0.47935361854238207,0.520646381457618,0.18,0.87
10023,KA-GAGPW24B1,m,True,0.7967179402400579,0.20328205975994215,0.34,0.94
10024,KA-GAGPW24B1,m,False,0.4107218767617317,0.5892781232382684,0.18,0.83
10025,KA-GAGPW24B1,w,False,0.5962806719369654,0.40371932806303445,0.03,0.75
10026,KA-GAGPW24B1,m,False,0.7509552489812251,0.24904475101877482,0.32,0.93
10027,KA-GAGPW24B1,w,False,0.08479022278996395,0.9152097772100359,0.12,0.77
10028,KA-GAGPW24B1,m,True,0.8647355200351808,0.1352644799648193,0.33,0.8
10029,KA-GTPA22B1,w,False,0.10671188943470795,0.8932881105652921,0.28,0.71
10030,KA-GTPA22B1,w,False,0.1704397356130214,0.8295602643869786,0.23,0.64
10031,KA-GTPA22B1,m,True,0.8420904087844779,0.15790959121552206,0.4,0.99
10032,KA-GTPA22B1,w,False,0.83836380420036,0.16163619579964006,0.16,0.81
10033,KA-GTPA22B1,m,False,0.9818642556984358,0.01813574430156414,0.16,0.86
10034,KA-GTPA22B1,w,False,0.630762958265602,0.369237041734398,0.31,0.59
10035,KA-GTPA22B1,w,False,0.928412268914612,0.07158773108538787,0.1,0.66
10036,KA-GTPA22B1,w,False,0.0597454574804584,0.9402545425195415,0.08,0.77
10037,KA-GTPA22B1,w,True,0.3835111268426886,0.6164888731573114,0.34,0.67
10038,KA-GTPA22B1,m,False,0.3700562322205584,0.6299437677794415,0.13,0.94
10039,KA-GTPA22B1,m,True,0.6551018109495675,0.3448981890504324,0.24,0.79
10040,KA-GTPA22B1,w,False,0.6237149450786517,0.37628505492134834,0.14,0.75
10041,KA-GTPA22B1,m,False,0.422353690258291,0.5776463097417089,0.18,0.88
10042,KA-GTPA22B1,w,False,0.7901113031357336,0.20988869686426637,0.29,0.76
10043,KA-GTPA22B1,m,False,0.30869639262532506,0.691303607374675,0.26,0.94
10044,KA-GTPA22B1,m,False,0.7193860940387827,0.2806139059612172,0.15,0.88
10045,KA-GTPA22B1,w,False,0.09033791744292613,0.9096620825570738,0.16,0.69
10046,KA-GTPA22B1,w,False,0.36064911019677354,0.6393508898032264,0.24,0.76
10047,KA-GTPA22B1,w,False,0.34533655850061495,0.654663441499385,0.24,0.75
10048,KA-GTPA22B1,m,False,0.6111157371705477,0.3888842628294522,0.36,0.91
10049,KA-GTPA22B1,m,False,0.0831800325787683,0.9168199674212316,0.31,0.77
10050,KA-GTPA22B1,w,False,0.12967028075039788,0.8703297192496021,0.24,0.64
10051,KA-GTPA22B1,w,False,0.06167911110446743,0.9383208888955326,0.01,0.8
10052,KA-GTPA22B1,w,False,0.6255190132658258,0.3744809867341741,0.22,0.55
10053,KA-GTPA22B1,w,True,0.7197162981505282,0.2802837018494717,0.14,0.94
10054,KA-GTPA22B1,w,False,0.5911978995855273,0.40880210041447285,0.0,0.8
10055,KA-GTPA22B1,m,False,0.8840287141646962,0.11597128583530372,0.39,0.88
10056,KA-GTPA22B1,w,False,0.27087452375690574,0.7291254762430942,0.36,0.85
10057,KA-GTPA22B2,w,False,0.14739326160051403,0.8526067383994859,0.26,0.82
10058,KA-GTPA22B2,m,True,0.17946869880641422,0.8205313011935856,0.18,0.77
10059,KA-GTPA22B2,w,False,0.027877794523529547,0.9721222054764704,0.26,0.75
10060,KA-GTPA22B2,w,False,0.8507433777768109,0.14925662222318906,0.14,0.67
10061,KA-GTPA22B2,m,False,0.11636959288410642,0.8836304071158936,0.28,0.85
10062,KA-GTPA22B2,w,False,0.19202226896026242,0.8079777310397375,0.15,0.75
10063,KA-GTPA22B2,w,True,0.5246227515379887,0.47537724846201135,0.02,0.83
10064,KA-GTPA22B2,m,False,0.2620803349176348,0.7379196650823652,0.3,0.8
